open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
77.95,78.2,77.3,77.8,4968925.0,0823.HK,20210621,,,HKD
77.5,78.45,77.3,77.3,4153593.0,0823.HK,20210622,,,HKD
77.15,78.5,77.0,78.2,4971730.0,0823.HK,20210623,,,HKD
77.15,78.7,77.15,78.25,4304456.0,0823.HK,20210624,,,HKD
78.4,78.5,77.6,78.0,3173520.0,0823.HK,20210625,,,HKD
78.0,78.6,77.1,77.85,2731974.0,0823.HK,20210628,,,HKD
76.95,77.1,75.85,75.95,4470860.0,0823.HK,20210629,,,HKD
75.9,76.25,75.2,75.25,3160023.0,0823.HK,20210630,,,HKD
76.0,76.0,74.05,74.65,4630878.0,0823.HK,20210702,,,HKD
74.8,76.85,74.7,76.5,4052867.0,0823.HK,20210705,,,HKD
76.5,76.7,76.0,76.25,3259983.0,0823.HK,20210706,,,HKD
76.45,76.45,75.05,75.55,3509499.0,0823.HK,20210707,,,HKD
75.6,76.6,74.65,74.75,4993659.0,0823.HK,20210708,,,HKD
74.75,75.0,74.0,74.15,4794441.0,0823.HK,20210709,,,HKD
74.2,75.0,73.6,75.0,3341941.0,0823.HK,20210712,,,HKD
76.1,76.45,75.25,75.35,3988726.0,0823.HK,20210713,,,HKD
75.2,75.4,74.3,74.4,3095673.0,0823.HK,20210714,,,HKD
74.35,75.5,74.35,75.1,3080126.0,0823.HK,20210715,,,HKD
75.1,77.3,74.8,75.6,6094563.0,0823.HK,20210716,,,HKD
75.6,76.2,74.2,74.55,3704614.0,0823.HK,20210719,,,HKD
74.65,75.4,74.35,74.6,3245390.0,0823.HK,20210720,,,HKD
75.0,75.5,74.7,74.95,3427071.0,0823.HK,20210721,,,HKD
74.9,76.25,74.9,75.8,5723861.0,0823.HK,20210722,,,HKD
75.5,75.8,74.9,75.3,3183767.0,0823.HK,20210723,,,HKD
75.0,75.75,74.85,75.05,5211935.0,0823.HK,20210726,,,HKD
74.85,76.7,74.85,75.4,9332967.0,0823.HK,20210727,,,HKD
76.25,76.75,75.3,75.8,6060384.0,0823.HK,20210728,,,HKD
75.45,75.65,74.5,75.0,6484027.0,0823.HK,20210729,,,HKD
74.5,75.4,74.2,74.3,4952219.0,0823.HK,20210730,,,HKD
74.65,75.2,74.2,75.0,3805626.0,0823.HK,20210802,,,HKD
75.75,75.75,74.3,74.6,3039919.0,0823.HK,20210803,,,HKD
74.95,75.0,74.25,74.25,3280127.0,0823.HK,20210804,,,HKD
74.1,74.25,73.2,73.95,3227722.0,0823.HK,20210805,,,HKD
74.65,74.65,73.2,73.8,2242694.0,0823.HK,20210806,,,HKD
73.1,74.55,73.1,73.4,3955002.0,0823.HK,20210809,,,HKD
73.4,73.4,72.1,72.6,5355113.0,0823.HK,20210810,,,HKD
72.2,73.35,72.15,72.5,5436667.0,0823.HK,20210811,,,HKD
73.0,73.25,72.4,72.6,2425754.0,0823.HK,20210812,,,HKD
72.6,73.2,72.4,72.95,2440836.0,0823.HK,20210813,,,HKD
73.2,73.4,72.6,73.3,2553263.0,0823.HK,20210816,,,HKD
73.35,74.1,73.25,73.25,3573190.0,0823.HK,20210817,,,HKD
73.3,73.75,72.8,73.6,2066578.0,0823.HK,20210818,,,HKD
73.5,73.5,72.4,72.9,2222115.0,0823.HK,20210819,,,HKD
73.5,74.2,72.9,74.0,5084599.0,0823.HK,20210820,,,HKD
74.3,74.4,73.1,73.3,3304060.0,0823.HK,20210823,,,HKD
73.45,73.5,72.55,72.8,3406604.0,0823.HK,20210824,,,HKD
72.25,72.8,71.8,71.95,4635604.0,0823.HK,20210825,,,HKD
71.7,71.9,71.1,71.6,3698619.0,0823.HK,20210826,,,HKD
71.3,71.7,71.05,71.5,2880026.0,0823.HK,20210827,,,HKD
71.25,72.2,71.1,71.95,3272671.0,0823.HK,20210830,,,HKD
71.8,72.05,71.3,71.55,4430597.0,0823.HK,20210831,,,HKD
71.2,71.5,70.8,71.3,5166244.0,0823.HK,20210901,,,HKD
71.5,72.35,71.15,71.75,5333274.0,0823.HK,20210902,,,HKD
71.85,72.15,71.15,71.15,4482159.0,0823.HK,20210903,,,HKD
71.0,71.3,70.85,70.95,3766425.0,0823.HK,20210906,,,HKD
70.55,70.95,70.35,70.55,4331789.0,0823.HK,20210907,,,HKD
70.2,70.7,69.8,70.0,7594979.0,0823.HK,20210908,,,HKD
69.65,70.95,69.35,69.9,9405786.0,0823.HK,20210909,,,HKD
70.05,70.3,69.65,70.05,3981971.0,0823.HK,20210910,,,HKD
69.9,70.1,68.8,69.3,5565847.0,0823.HK,20210913,,,HKD
69.1,69.85,68.85,69.1,4028336.0,0823.HK,20210914,,,HKD
69.2,69.5,67.95,68.0,5648988.0,0823.HK,20210915,,,HKD
67.85,68.0,66.35,66.95,7831762.0,0823.HK,20210916,,,HKD
66.95,67.3,66.55,66.65,11463563.0,0823.HK,20210917,,,HKD
66.0,66.5,63.1,64.65,14977853.0,0823.HK,20210920,,,HKD
64.05,64.95,63.85,64.75,10790997.0,0823.HK,20210921,,,HKD
65.25,66.25,65.0,66.1,6745846.0,0823.HK,20210923,,,HKD
66.0,66.25,64.85,65.25,4792851.0,0823.HK,20210924,,,HKD
65.2,65.7,64.55,64.55,3676265.0,0823.HK,20210927,,,HKD
64.85,65.0,64.0,64.15,6213988.0,0823.HK,20210928,,,HKD
63.85,65.7,63.25,65.25,9720227.0,0823.HK,20210929,,,HKD
65.6,67.3,65.25,66.75,7369827.0,0823.HK,20210930,,,HKD
65.15,65.9,64.9,65.75,6380824.0,0823.HK,20211004,,,HKD
65.1,66.1,64.5,65.8,3986261.0,0823.HK,20211005,,,HKD
66.05,66.35,64.65,65.15,4937897.0,0823.HK,20211006,,,HKD
65.75,66.4,65.25,65.9,3407627.0,0823.HK,20211007,,,HKD
65.8,66.65,65.15,66.5,6495636.0,0823.HK,20211008,,,HKD
66.5,67.0,66.2,66.7,4862889.0,0823.HK,20211011,,,HKD
66.3,67.75,65.7,67.25,6180405.0,0823.HK,20211012,,,HKD
68.0,68.85,67.1,68.4,5341687.0,0823.HK,20211015,,,HKD
68.95,68.95,67.35,68.2,5919204.0,0823.HK,20211018,,,HKD
68.7,69.3,68.0,68.4,3492058.0,0823.HK,20211019,,,HKD
68.35,68.5,67.3,68.1,4018375.0,0823.HK,20211020,,,HKD
67.65,68.3,67.15,67.9,3388010.0,0823.HK,20211021,,,HKD
68.25,68.65,67.75,68.4,3403576.0,0823.HK,20211022,,,HKD
68.4,69.2,68.0,68.55,2943018.0,0823.HK,20211025,,,HKD
68.25,68.5,67.75,68.15,3324530.0,0823.HK,20211026,,,HKD
68.05,68.75,67.7,68.4,3209413.0,0823.HK,20211027,,,HKD
68.65,69.7,68.35,69.5,5299256.0,0823.HK,20211028,,,HKD
69.65,69.85,69.0,69.0,4276491.0,0823.HK,20211029,,,HKD
68.9,69.2,68.1,68.65,2022113.0,0823.HK,20211101,,,HKD
68.65,69.15,68.0,68.6,2839520.0,0823.HK,20211102,,,HKD
68.5,68.8,67.5,67.9,3249414.0,0823.HK,20211103,,,HKD
68.55,69.0,68.1,68.75,3319263.0,0823.HK,20211104,,,HKD
68.65,69.0,68.1,68.7,838055.0,0823.HK,20211105,,,HKD
69.25,70.2,69.25,69.75,3490872.0,0823.HK,20211108,,,HKD
70.3,70.3,68.8,69.5,2780728.0,0823.HK,20211109,,,HKD
70.0,71.2,68.5,70.4,6535622.0,0823.HK,20211110,,,HKD
71.25,73.0,71.15,71.95,9933356.0,0823.HK,20211111,,,HKD
72.25,72.85,70.7,71.5,6816603.0,0823.HK,20211112,,,HKD
71.5,71.7,70.6,71.5,3445888.0,0823.HK,20211115,,,HKD
71.75,72.5,71.5,71.85,3299396.0,0823.HK,20211116,,,HKD
71.65,71.95,70.9,71.1,4515105.0,0823.HK,20211117,,,HKD
70.55,71.5,70.2,71.2,5233781.0,0823.HK,20211118,,,HKD
70.95,71.5,70.65,71.45,7852859.0,0823.HK,20211119,,,HKD
69.9,70.6,69.65,69.75,5236391.0,0823.HK,20211122,,,HKD
69.75,70.25,69.25,69.85,4817703.0,0823.HK,20211123,,,HKD
69.75,70.75,69.6,70.75,5427295.0,0823.HK,20211124,,,HKD
71.0,71.05,69.75,71.05,5059685.0,0823.HK,20211125,,,HKD
70.55,70.55,69.1,69.3,5652644.0,0823.HK,20211126,,,HKD
68.85,69.05,68.35,68.7,3704732.0,0823.HK,20211129,,,HKD
68.2,69.15,67.5,67.6,8128775.0,0823.HK,20211130,,,HKD
67.4,67.85,66.1,66.5,9839910.0,0823.HK,20211201,,,HKD
66.5,67.15,66.1,67.0,5506708.0,0823.HK,20211202,,,HKD
66.9,67.1,66.35,66.6,7690517.0,0823.HK,20211203,,,HKD
66.75,67.4,66.6,67.15,4961200.0,0823.HK,20211206,,,HKD
67.0,67.45,66.8,66.9,5993310.0,0823.HK,20211207,,,HKD
67.45,67.45,66.95,67.15,4827798.0,0823.HK,20211208,,,HKD
67.5,68.45,67.4,68.05,4240974.0,0823.HK,20211209,,,HKD
67.5,68.1,67.3,67.65,3634873.0,0823.HK,20211210,,,HKD
67.9,68.35,67.1,67.35,5236621.0,0823.HK,20211213,,,HKD
67.75,67.75,66.95,67.3,3763086.0,0823.HK,20211214,,,HKD
67.25,67.7,66.7,67.35,3714682.0,0823.HK,20211215,,,HKD
66.85,67.7,66.85,67.65,4937472.0,0823.HK,20211216,,,HKD
67.3,67.3,66.65,66.75,6568245.0,0823.HK,20211217,,,HKD
66.2,66.7,65.35,66.0,4710160.0,0823.HK,20211220,,,HKD
66.3,66.95,66.0,66.2,2814271.0,0823.HK,20211221,,,HKD
66.2,66.45,65.75,66.45,2434206.0,0823.HK,20211222,,,HKD
66.65,67.25,66.45,66.75,3159170.0,0823.HK,20211223,,,HKD
67.45,67.9,67.1,67.85,1827569.0,0823.HK,20211224,,,HKD
67.9,68.25,67.1,67.9,2699547.0,0823.HK,20211228,,,HKD
68.45,68.6,67.85,67.95,2945119.0,0823.HK,20211229,,,HKD
68.0,68.7,67.9,68.6,2656039.0,0823.HK,20211230,,,HKD
68.8,69.0,68.2,68.65,2284010.0,0823.HK,20211231,,,HKD
68.8,69.3,68.55,68.65,1578736.0,0823.HK,20220103,,,HKD
69.2,70.1,68.6,69.35,6049690.0,0823.HK,20220104,,,HKD
69.8,70.4,68.3,68.6,7565993.0,0823.HK,20220105,,,HKD
68.5,68.5,67.25,68.0,5087246.0,0823.HK,20220106,,,HKD
67.6,67.95,66.35,67.9,4735241.0,0823.HK,20220107,,,HKD
67.9,68.1,67.35,67.9,3971136.0,0823.HK,20220110,,,HKD
67.9,68.0,67.2,67.35,4734076.0,0823.HK,20220111,,,HKD
67.1,67.9,67.1,67.1,5704438.0,0823.HK,20220112,,,HKD
67.1,67.4,66.9,66.9,4138182.0,0823.HK,20220113,,,HKD
66.3,67.65,66.3,67.15,5003245.0,0823.HK,20220114,,,HKD
67.0,67.35,66.85,67.05,2173115.0,0823.HK,20220117,,,HKD
