open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3.935,3.935,3.935,3.935,6773818.0,180605.SZ,2025-01-24,,,CNY
4.329,4.329,4.15,4.244,17439204.0,180605.SZ,2025-01-27,,,CNY
4.2,4.253,4.16,4.25,5509695.0,180605.SZ,2025-02-05,,,CNY
4.215,4.305,4.196,4.288,9082958.0,180605.SZ,2025-02-06,,,CNY
4.287,4.315,4.254,4.308,6527823.0,180605.SZ,2025-02-07,,,CNY
4.308,4.358,4.28,4.357,5618141.0,180605.SZ,2025-02-10,,,CNY
4.357,4.459,4.357,4.455,6404811.0,180605.SZ,2025-02-11,,,CNY
4.455,4.46,4.41,4.46,7246063.0,180605.SZ,2025-02-12,,,CNY
4.462,4.465,4.42,4.446,3219895.0,180605.SZ,2025-02-13,,,CNY
4.446,4.45,4.391,4.446,3369350.0,180605.SZ,2025-02-14,,,CNY
4.446,4.478,4.407,4.461,1411335.0,180605.SZ,2025-02-17,,,CNY
4.444,4.5,4.44,4.474,720558.0,180605.SZ,2025-02-18,,,CNY
4.455,4.492,4.43,4.482,1081269.0,180605.SZ,2025-02-19,,,CNY
4.482,4.5,4.458,4.487,464792.0,180605.SZ,2025-02-20,,,CNY
4.487,4.5,4.467,4.5,858506.0,180605.SZ,2025-02-21,,,CNY
4.502,4.502,4.445,4.467,1373920.0,180605.SZ,2025-02-24,,,CNY
4.46,4.5,4.378,4.44,1034702.0,180605.SZ,2025-02-25,,,CNY
4.406,4.454,4.406,4.424,1576337.0,180605.SZ,2025-02-26,,,CNY
4.424,4.424,4.371,4.411,1522428.0,180605.SZ,2025-02-27,,,CNY
4.41,4.411,4.374,4.391,1061325.0,180605.SZ,2025-02-28,,,CNY
4.391,4.418,4.377,4.406,696177.0,180605.SZ,2025-03-03,,,CNY
4.407,4.431,4.407,4.426,1870018.0,180605.SZ,2025-03-04,,,CNY
4.405,4.478,4.405,4.42,1227617.0,180605.SZ,2025-03-05,,,CNY
4.42,4.431,4.401,4.41,666769.0,180605.SZ,2025-03-06,,,CNY
4.411,4.451,4.377,4.399,1188711.0,180605.SZ,2025-03-07,,,CNY
4.365,4.446,4.361,4.417,1590597.0,180605.SZ,2025-03-10,,,CNY
4.42,4.42,4.361,4.388,540154.0,180605.SZ,2025-03-11,,,CNY
4.395,4.448,4.361,4.38,933343.0,180605.SZ,2025-03-12,,,CNY
4.361,4.403,4.36,4.368,797097.0,180605.SZ,2025-03-13,,,CNY
4.368,4.425,4.365,4.425,1122545.0,180605.SZ,2025-03-14,,,CNY
4.425,4.485,4.39,4.439,1706394.0,180605.SZ,2025-03-17,,,CNY
4.441,4.464,4.43,4.448,697737.0,180605.SZ,2025-03-18,,,CNY
4.426,4.49,4.426,4.449,1330608.0,180605.SZ,2025-03-19,,,CNY
4.449,4.468,4.434,4.448,1737037.0,180605.SZ,2025-03-20,,,CNY
4.45,4.488,4.402,4.434,765008.0,180605.SZ,2025-03-21,,,CNY
4.434,4.449,4.4,4.416,1580624.0,180605.SZ,2025-03-24,,,CNY
4.416,4.447,4.4,4.406,929723.0,180605.SZ,2025-03-25,,,CNY
4.406,4.46,4.406,4.46,1320671.0,180605.SZ,2025-03-26,,,CNY
4.438,4.481,4.417,4.453,1130488.0,180605.SZ,2025-03-27,,,CNY
4.453,4.468,4.446,4.462,1215502.0,180605.SZ,2025-03-28,,,CNY
4.431,4.482,4.417,4.433,532234.0,180605.SZ,2025-03-31,,,CNY
4.433,4.46,4.405,4.418,439000.0,180605.SZ,2025-04-01,,,CNY
