open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
8.3,8.529,8.287,8.457,21103522,508093.SH,2026-05-26,,,CNY
8.46,8.46,8.35,8.411,2654114,508093.SH,2026-05-27,,,CNY
8.373,8.395,8.35,8.352,2186020,508093.SH,2026-05-28,,,CNY
8.315,8.32,8.244,8.311,3994051,508093.SH,2026-05-29,,,CNY
8.273,8.416,8.273,8.38,874717,508093.SH,2026-06-01,,,CNY
8.38,8.48,8.38,8.463,573516,508093.SH,2026-06-02,,,CNY
8.463,8.533,8.459,8.532,2873893,508093.SH,2026-06-03,,,CNY
8.532,8.621,8.532,8.588,127471,508093.SH,2026-06-04,,,CNY
8.604,8.65,8.535,8.56,473709,508093.SH,2026-06-05,,,CNY
8.535,8.58,8.453,8.561,573308,508093.SH,2026-06-08,,,CNY
8.561,8.585,8.52,8.56,239087,508093.SH,2026-06-09,,,CNY
8.562,8.65,8.449,8.597,1872215,508093.SH,2026-06-10,,,CNY
8.63,8.634,8.458,8.575,279536,508093.SH,2026-06-11,,,CNY
8.537,8.607,8.504,8.55,690941,508093.SH,2026-06-12,,,CNY
8.55,8.642,8.55,8.589,463947,508093.SH,2026-06-15,,,CNY
8.512,8.609,8.512,8.6,579562,508093.SH,2026-06-16,,,CNY
8.523,8.604,8.523,8.59,955758,508093.SH,2026-06-17,,,CNY
8.551,8.578,8.48,8.529,913040,508093.SH,2026-06-18,,,CNY
8.5,8.5,8.42,8.427,159767,508093.SH,2026-06-22,,,CNY
8.428,8.428,8.288,8.335,1242755,508093.SH,2026-06-23,,,CNY
8.3,8.371,8.245,8.26,539422,508093.SH,2026-06-24,,,CNY
8.24,8.409,8.24,8.406,1752384,508093.SH,2026-06-25,,,CNY
8.369,8.428,8.255,8.424,199351,508093.SH,2026-06-26,,,CNY
8.348,8.474,8.348,8.465,428967,508093.SH,2026-06-29,,,CNY
8.47,8.524,8.412,8.503,637993,508093.SH,2026-06-30,,,CNY
8.503,8.51,8.389,8.484,103123,508093.SH,2026-07-01,,,CNY
8.421,8.5,8.421,8.454,639881,508093.SH,2026-07-02,,,CNY
8.48,8.5,8.418,8.449,253907,508093.SH,2026-07-03,,,CNY
8.43,8.535,8.421,8.485,855809,508093.SH,2026-07-06,,,CNY
8.447,8.499,8.428,8.45,30433,508093.SH,2026-07-07,,,CNY
8.419,8.475,8.419,8.448,373074,508093.SH,2026-07-08,,,CNY
8.448,8.465,8.372,8.46,903308,508093.SH,2026-07-09,,,CNY
8.451,8.451,8.389,8.439,138410,508093.SH,2026-07-10,,,CNY
8.363,8.437,8.363,8.434,206737,508093.SH,2026-07-13,,,CNY
8.402,8.469,8.401,8.44,162390,508093.SH,2026-07-14,,,CNY
8.364,8.498,8.364,8.443,53018,508093.SH,2026-07-15,,,CNY
8.367,8.48,8.367,8.48,144342,508093.SH,2026-07-16,,,CNY
8.494,8.494,8.31,8.475,132145,508093.SH,2026-07-17,,,CNY
8.436,8.482,8.371,8.448,75090,508093.SH,2026-07-20,,,CNY
8.42,8.445,8.302,8.4,144799,508093.SH,2026-07-21,,,CNY
8.33,8.497,8.33,8.4,105625,508093.SH,2026-07-22,,,CNY
8.4,8.52,8.4,8.52,542366,508093.SH,2026-07-23,,,CNY
8.52,8.557,8.462,8.518,490768,508093.SH,2026-07-24,,,CNY
8.5,8.542,8.464,8.496,415153,508093.SH,2026-07-27,,,CNY
8.263,8.423,8.126,8.146,194828,508093.SH,2026-07-28,,,CNY
