open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
265.99,268.15,264.011,267.74,1471146,AMT.N,2021-06-21,美国电塔,American Tower Corporation,USD
267.78,268.38,266.48,266.61,1156941,AMT.N,2021-06-22,美国电塔,American Tower Corporation,USD
266.0,266.61,263.525,264.22,1330564,AMT.N,2021-06-23,美国电塔,American Tower Corporation,USD
265.54,266.15,262.335,264.15,910646,AMT.N,2021-06-24,美国电塔,American Tower Corporation,USD
264.41,267.46,263.81,266.54,1882674,AMT.N,2021-06-25,美国电塔,American Tower Corporation,USD
268.37,272.0,268.37,271.79,1808670,AMT.N,2021-06-28,美国电塔,American Tower Corporation,USD
271.41,273.78,270.26,272.79,1624146,AMT.N,2021-06-29,美国电塔,American Tower Corporation,USD
272.97,274.81,270.03,270.14,1857973,AMT.N,2021-06-30,美国电塔,American Tower Corporation,USD
268.63,271.74,267.652,270.33,1537005,AMT.N,2021-07-01,美国电塔,American Tower Corporation,USD
271.3,273.5,271.3,272.87,1207859,AMT.N,2021-07-02,美国电塔,American Tower Corporation,USD
272.87,275.88,271.57,275.73,1742700,AMT.N,2021-07-06,美国电塔,American Tower Corporation,USD
275.25,279.66,274.01,278.17,1732328,AMT.N,2021-07-07,美国电塔,American Tower Corporation,USD
277.95,280.21,276.12,277.92,1179565,AMT.N,2021-07-08,美国电塔,American Tower Corporation,USD
277.67,278.76,275.32,278.45,1151760,AMT.N,2021-07-09,美国电塔,American Tower Corporation,USD
279.17,280.65,277.74,279.99,1323719,AMT.N,2021-07-12,美国电塔,American Tower Corporation,USD
278.14,281.62,277.64,278.53,1228229,AMT.N,2021-07-13,美国电塔,American Tower Corporation,USD
278.0,282.42,277.01,281.37,1198062,AMT.N,2021-07-14,美国电塔,American Tower Corporation,USD
282.1,283.22,279.03,281.28,1082462,AMT.N,2021-07-15,美国电塔,American Tower Corporation,USD
282.24,284.11,281.14,282.46,2100759,AMT.N,2021-07-16,美国电塔,American Tower Corporation,USD
282.9,284.65,278.56,280.89,2166943,AMT.N,2021-07-19,美国电塔,American Tower Corporation,USD
283.11,284.44,279.69,283.0,1502643,AMT.N,2021-07-20,美国电塔,American Tower Corporation,USD
282.68,283.135,279.93,280.26,1166995,AMT.N,2021-07-21,美国电塔,American Tower Corporation,USD
279.7,282.12,276.89,281.6,1152328,AMT.N,2021-07-22,美国电塔,American Tower Corporation,USD
282.25,285.74,280.73,285.26,1144241,AMT.N,2021-07-23,美国电塔,American Tower Corporation,USD
283.37,284.93,282.494,284.61,1174401,AMT.N,2021-07-26,美国电塔,American Tower Corporation,USD
285.01,287.5,284.03,286.88,1229223,AMT.N,2021-07-27,美国电塔,American Tower Corporation,USD
286.94,287.3,283.75,284.98,1636048,AMT.N,2021-07-28,美国电塔,American Tower Corporation,USD
286.0,289.512,282.26,283.0,1768233,AMT.N,2021-07-29,美国电塔,American Tower Corporation,USD
284.69,286.635,282.73,282.8,1762184,AMT.N,2021-07-30,美国电塔,American Tower Corporation,USD
283.5,286.13,283.17,283.62,1219283,AMT.N,2021-08-02,美国电塔,American Tower Corporation,USD
283.7,285.82,282.81,284.35,1000032,AMT.N,2021-08-03,美国电塔,American Tower Corporation,USD
284.79,285.76,281.71,284.87,1315122,AMT.N,2021-08-04,美国电塔,American Tower Corporation,USD
286.43,286.72,281.13,282.76,1307753,AMT.N,2021-08-05,美国电塔,American Tower Corporation,USD
281.4,283.44,281.01,282.12,1460140,AMT.N,2021-08-06,美国电塔,American Tower Corporation,USD
282.0,282.42,278.95,280.06,1093340,AMT.N,2021-08-09,美国电塔,American Tower Corporation,USD
281.55,281.98,275.0,275.3,1293233,AMT.N,2021-08-10,美国电塔,American Tower Corporation,USD
276.41,277.695,275.37,277.22,871555,AMT.N,2021-08-11,美国电塔,American Tower Corporation,USD
278.0,280.475,276.15,280.05,874399,AMT.N,2021-08-12,美国电塔,American Tower Corporation,USD
280.43,282.95,279.205,282.92,807987,AMT.N,2021-08-13,美国电塔,American Tower Corporation,USD
282.92,284.56,281.77,283.2,1068100,AMT.N,2021-08-16,美国电塔,American Tower Corporation,USD
281.14,286.73,281.14,286.53,922491,AMT.N,2021-08-17,美国电塔,American Tower Corporation,USD
285.96,287.285,283.33,283.38,1146165,AMT.N,2021-08-18,美国电塔,American Tower Corporation,USD
281.59,289.73,281.59,289.14,1203217,AMT.N,2021-08-19,美国电塔,American Tower Corporation,USD
289.4,291.82,287.75,290.82,1712846,AMT.N,2021-08-20,美国电塔,American Tower Corporation,USD
289.38,290.335,287.31,288.51,1071401,AMT.N,2021-08-23,美国电塔,American Tower Corporation,USD
289.49,289.81,283.39,284.6,977960,AMT.N,2021-08-24,美国电塔,American Tower Corporation,USD
284.65,284.69,281.72,282.9,973412,AMT.N,2021-08-25,美国电塔,American Tower Corporation,USD
282.22,284.87,281.72,283.18,960962,AMT.N,2021-08-26,美国电塔,American Tower Corporation,USD
284.82,285.81,282.205,285.5,882387,AMT.N,2021-08-27,美国电塔,American Tower Corporation,USD
