open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
207.26,212.87,206.61,212.1,799602,AVB.N,2021-06-21,阿湾物产,"Avalonbay Communities, Inc.",USD
212.18,212.33,210.19,211.58,790403,AVB.N,2021-06-22,阿湾物产,"Avalonbay Communities, Inc.",USD
211.94,213.23,210.52,212.71,1107805,AVB.N,2021-06-23,阿湾物产,"Avalonbay Communities, Inc.",USD
212.71,213.23,210.7,212.03,778267,AVB.N,2021-06-24,阿湾物产,"Avalonbay Communities, Inc.",USD
211.81,214.015,211.563,213.94,835957,AVB.N,2021-06-25,阿湾物产,"Avalonbay Communities, Inc.",USD
214.12,214.12,210.87,212.38,689887,AVB.N,2021-06-28,阿湾物产,"Avalonbay Communities, Inc.",USD
210.26,212.57,210.01,210.31,888198,AVB.N,2021-06-29,阿湾物产,"Avalonbay Communities, Inc.",USD
210.02,211.81,207.93,208.69,930643,AVB.N,2021-06-30,阿湾物产,"Avalonbay Communities, Inc.",USD
209.04,212.33,208.15,210.51,672714,AVB.N,2021-07-01,阿湾物产,"Avalonbay Communities, Inc.",USD
210.9,212.704,210.9,211.33,467442,AVB.N,2021-07-02,阿湾物产,"Avalonbay Communities, Inc.",USD
211.24,213.895,209.41,213.55,680355,AVB.N,2021-07-06,阿湾物产,"Avalonbay Communities, Inc.",USD
213.73,216.25,212.35,215.73,690612,AVB.N,2021-07-07,阿湾物产,"Avalonbay Communities, Inc.",USD
214.44,217.71,213.8,217.27,596845,AVB.N,2021-07-08,阿湾物产,"Avalonbay Communities, Inc.",USD
218.92,221.08,217.33,220.83,656501,AVB.N,2021-07-09,阿湾物产,"Avalonbay Communities, Inc.",USD
220.83,224.41,220.37,223.97,645083,AVB.N,2021-07-12,阿湾物产,"Avalonbay Communities, Inc.",USD
223.51,223.7,220.36,221.22,346027,AVB.N,2021-07-13,阿湾物产,"Avalonbay Communities, Inc.",USD
222.0,224.31,221.54,224.07,345881,AVB.N,2021-07-14,阿湾物产,"Avalonbay Communities, Inc.",USD
223.33,225.305,223.1,224.93,618150,AVB.N,2021-07-15,阿湾物产,"Avalonbay Communities, Inc.",USD
226.24,227.16,225.17,225.87,613461,AVB.N,2021-07-16,阿湾物产,"Avalonbay Communities, Inc.",USD
223.2,225.24,221.15,223.17,703075,AVB.N,2021-07-19,阿湾物产,"Avalonbay Communities, Inc.",USD
224.44,229.45,223.97,228.74,604239,AVB.N,2021-07-20,阿湾物产,"Avalonbay Communities, Inc.",USD
229.19,230.6,227.91,228.18,609095,AVB.N,2021-07-21,阿湾物产,"Avalonbay Communities, Inc.",USD
227.04,227.115,224.03,224.45,938583,AVB.N,2021-07-22,阿湾物产,"Avalonbay Communities, Inc.",USD
224.46,226.95,224.18,226.8,803267,AVB.N,2021-07-23,阿湾物产,"Avalonbay Communities, Inc.",USD
226.16,227.81,225.26,226.2,333536,AVB.N,2021-07-26,阿湾物产,"Avalonbay Communities, Inc.",USD
226.2,229.47,224.95,228.28,457993,AVB.N,2021-07-27,阿湾物产,"Avalonbay Communities, Inc.",USD
228.34,229.5,227.09,227.45,604686,AVB.N,2021-07-28,阿湾物产,"Avalonbay Communities, Inc.",USD
227.55,232.25,227.55,229.92,416405,AVB.N,2021-07-29,阿湾物产,"Avalonbay Communities, Inc.",USD
230.99,232.72,227.75,227.83,784051,AVB.N,2021-07-30,阿湾物产,"Avalonbay Communities, Inc.",USD
229.71,231.89,227.5,228.81,588610,AVB.N,2021-08-02,阿湾物产,"Avalonbay Communities, Inc.",USD
229.22,229.235,226.28,228.9,344079,AVB.N,2021-08-03,阿湾物产,"Avalonbay Communities, Inc.",USD
229.0,229.67,227.11,227.88,405021,AVB.N,2021-08-04,阿湾物产,"Avalonbay Communities, Inc.",USD
229.45,230.11,226.77,229.19,324456,AVB.N,2021-08-05,阿湾物产,"Avalonbay Communities, Inc.",USD
230.0,230.0,227.63,228.92,299207,AVB.N,2021-08-06,阿湾物产,"Avalonbay Communities, Inc.",USD
228.63,228.66,226.35,227.54,414383,AVB.N,2021-08-09,阿湾物产,"Avalonbay Communities, Inc.",USD
227.53,227.61,222.73,222.78,705408,AVB.N,2021-08-10,阿湾物产,"Avalonbay Communities, Inc.",USD
223.99,224.46,221.56,222.2,641098,AVB.N,2021-08-11,阿湾物产,"Avalonbay Communities, Inc.",USD
222.97,223.75,221.73,222.3,412152,AVB.N,2021-08-12,阿湾物产,"Avalonbay Communities, Inc.",USD
223.07,225.2,222.31,224.55,401324,AVB.N,2021-08-13,阿湾物产,"Avalonbay Communities, Inc.",USD
224.16,226.72,223.02,225.11,474326,AVB.N,2021-08-16,阿湾物产,"Avalonbay Communities, Inc.",USD
223.89,225.35,222.3,224.59,324617,AVB.N,2021-08-17,阿湾物产,"Avalonbay Communities, Inc.",USD
223.85,224.74,221.81,222.87,356567,AVB.N,2021-08-18,阿湾物产,"Avalonbay Communities, Inc.",USD
221.55,224.61,220.67,223.95,415949,AVB.N,2021-08-19,阿湾物产,"Avalonbay Communities, Inc.",USD
223.46,225.73,222.06,224.63,473798,AVB.N,2021-08-20,阿湾物产,"Avalonbay Communities, Inc.",USD
225.24,225.91,222.05,223.15,332699,AVB.N,2021-08-23,阿湾物产,"Avalonbay Communities, Inc.",USD
223.25,223.25,220.31,221.79,425739,AVB.N,2021-08-24,阿湾物产,"Avalonbay Communities, Inc.",USD
221.55,224.285,220.47,222.26,339860,AVB.N,2021-08-25,阿湾物产,"Avalonbay Communities, Inc.",USD
223.5,224.92,222.46,224.39,450992,AVB.N,2021-08-26,阿湾物产,"Avalonbay Communities, Inc.",USD
225.48,226.81,224.61,225.62,271128,AVB.N,2021-08-27,阿湾物产,"Avalonbay Communities, Inc.",USD
225.68,228.46,224.82,228.22,451436,AVB.N,2021-08-30,阿湾物产,"Avalonbay Communities, Inc.",USD
227.54,229.69,226.75,229.58,662416,AVB.N,2021-08-31,阿湾物产,"Avalonbay Communities, Inc.",USD
229.19,232.7,228.34,232.6,572946,AVB.N,2021-09-01,阿湾物产,"Avalonbay Communities, Inc.",USD
232.62,233.45,230.41,233.02,820860,AVB.N,2021-09-02,阿湾物产,"Avalonbay Communities, Inc.",USD
232.4,233.48,229.94,232.85,480656,AVB.N,2021-09-03,阿湾物产,"Avalonbay Communities, Inc.",USD
232.25,232.25,226.31,227.59,655442,AVB.N,2021-09-07,阿湾物产,"Avalonbay Communities, Inc.",USD
226.72,231.757,226.2,230.49,412008,AVB.N,2021-09-08,阿湾物产,"Avalonbay Communities, Inc.",USD
229.77,230.06,225.93,226.0,544351,AVB.N,2021-09-09,阿湾物产,"Avalonbay Communities, Inc.",USD
226.89,226.89,223.42,223.55,488468,AVB.N,2021-09-10,阿湾物产,"Avalonbay Communities, Inc.",USD
