open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
818.67,826.81,802.65,822.5,1036829.0,EQIX.O,20210621,易昆尼克斯,"Equinix, Inc.",USD
823.65,824.99,811.57,822.57,573808.0,EQIX.O,20210622,易昆尼克斯,"Equinix, Inc.",USD
821.62,824.72,792.03,803.56,909430.0,EQIX.O,20210623,易昆尼克斯,"Equinix, Inc.",USD
804.01,809.63,772.95,779.32,1107324.0,EQIX.O,20210624,易昆尼克斯,"Equinix, Inc.",USD
780.19,785.77,774.32,783.4,1128519.0,EQIX.O,20210625,易昆尼克斯,"Equinix, Inc.",USD
789.34,798.9,783.02,798.52,675140.0,EQIX.O,20210628,易昆尼克斯,"Equinix, Inc.",USD
792.02,804.1,789.39,802.33,493372.0,EQIX.O,20210629,易昆尼克斯,"Equinix, Inc.",USD
808.3,809.85,798.59,802.6,717052.0,EQIX.O,20210630,易昆尼克斯,"Equinix, Inc.",USD
800.56,808.6,795.2,797.64,506093.0,EQIX.O,20210701,易昆尼克斯,"Equinix, Inc.",USD
800.64,804.31,796.01,800.5,379912.0,EQIX.O,20210702,易昆尼克斯,"Equinix, Inc.",USD
801.38,819.85,799.99,819.11,458329.0,EQIX.O,20210706,易昆尼克斯,"Equinix, Inc.",USD
822.78,831.72,817.22,827.81,525781.0,EQIX.O,20210707,易昆尼克斯,"Equinix, Inc.",USD
825.0,832.92,820.63,828.19,402432.0,EQIX.O,20210708,易昆尼克斯,"Equinix, Inc.",USD
827.89,834.0,812.98,820.32,480885.0,EQIX.O,20210709,易昆尼克斯,"Equinix, Inc.",USD
823.05,833.94,815.69,829.55,600739.0,EQIX.O,20210712,易昆尼克斯,"Equinix, Inc.",USD
826.3,835.71,821.56,823.04,398218.0,EQIX.O,20210713,易昆尼克斯,"Equinix, Inc.",USD
822.32,834.77,818.9,831.84,412367.0,EQIX.O,20210714,易昆尼克斯,"Equinix, Inc.",USD
832.65,835.71,824.65,834.04,310153.0,EQIX.O,20210715,易昆尼克斯,"Equinix, Inc.",USD
834.16,845.62,829.29,831.47,541619.0,EQIX.O,20210716,易昆尼克斯,"Equinix, Inc.",USD
828.36,838.86,824.16,834.3,477842.0,EQIX.O,20210719,易昆尼克斯,"Equinix, Inc.",USD
838.5,840.0,828.18,832.65,409363.0,EQIX.O,20210720,易昆尼克斯,"Equinix, Inc.",USD
829.53,829.53,812.84,819.76,582379.0,EQIX.O,20210721,易昆尼克斯,"Equinix, Inc.",USD
