open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
67.16,68.49,66.99,68.06,5944664,O.N,2021-06-21,Realty Income,Realty Income Corporation,USD
67.77,68.095,67.46,67.48,3887942,O.N,2021-06-22,Realty Income,Realty Income Corporation,USD
67.48,67.915,67.22,67.42,2881581,O.N,2021-06-23,Realty Income,Realty Income Corporation,USD
67.9,67.9,66.88,67.0,3388683,O.N,2021-06-24,Realty Income,Realty Income Corporation,USD
67.41,68.21,67.063,68.13,3884154,O.N,2021-06-25,Realty Income,Realty Income Corporation,USD
68.17,68.245,67.51,67.83,4583028,O.N,2021-06-28,Realty Income,Realty Income Corporation,USD
67.84,68.5,67.69,67.95,4132591,O.N,2021-06-29,Realty Income,Realty Income Corporation,USD
67.66,68.28,66.63,66.74,4164395,O.N,2021-06-30,Realty Income,Realty Income Corporation,USD
65.76,67.51,65.75,67.05,7642608,O.N,2021-07-01,Realty Income,Realty Income Corporation,USD
67.3,67.905,67.11,67.48,3298858,O.N,2021-07-02,Realty Income,Realty Income Corporation,USD
67.58,68.4,67.035,68.25,3961741,O.N,2021-07-06,Realty Income,Realty Income Corporation,USD
68.02,68.44,67.58,68.19,2698965,O.N,2021-07-07,Realty Income,Realty Income Corporation,USD
67.95,68.31,67.5,67.9,2980549,O.N,2021-07-08,Realty Income,Realty Income Corporation,USD
68.23,68.9,67.91,68.87,2578438,O.N,2021-07-09,Realty Income,Realty Income Corporation,USD
68.7,69.56,68.47,69.3,2657397,O.N,2021-07-12,Realty Income,Realty Income Corporation,USD
69.13,69.36,68.08,68.46,2694144,O.N,2021-07-13,Realty Income,Realty Income Corporation,USD
68.38,69.095,68.35,68.86,2642493,O.N,2021-07-14,Realty Income,Realty Income Corporation,USD
69.01,69.33,68.84,69.28,2075767,O.N,2021-07-15,Realty Income,Realty Income Corporation,USD
69.69,70.04,69.452,69.56,2853139,O.N,2021-07-16,Realty Income,Realty Income Corporation,USD
68.85,68.95,68.04,68.7,3713661,O.N,2021-07-19,Realty Income,Realty Income Corporation,USD
68.95,70.53,68.92,70.25,3794490,O.N,2021-07-20,Realty Income,Realty Income Corporation,USD
70.21,70.8,70.14,70.18,1955660,O.N,2021-07-21,Realty Income,Realty Income Corporation,USD
69.92,70.1,69.53,69.91,2052453,O.N,2021-07-22,Realty Income,Realty Income Corporation,USD
70.0,70.605,69.97,70.48,1767059,O.N,2021-07-23,Realty Income,Realty Income Corporation,USD
70.35,70.9,70.21,70.66,2952391,O.N,2021-07-26,Realty Income,Realty Income Corporation,USD
70.36,71.378,70.305,71.04,3503331,O.N,2021-07-27,Realty Income,Realty Income Corporation,USD
71.35,71.35,70.29,70.33,3489371,O.N,2021-07-28,Realty Income,Realty Income Corporation,USD
70.51,70.95,70.14,70.22,2358939,O.N,2021-07-29,Realty Income,Realty Income Corporation,USD
