open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
119.96,122.88,119.5,122.59,2745060,PLD.N,2021-06-21,安博,"Prologis, Inc.",USD
122.4,122.72,121.7,121.98,2078419,PLD.N,2021-06-22,安博,"Prologis, Inc.",USD
121.93,122.23,121.03,121.12,2583626,PLD.N,2021-06-23,安博,"Prologis, Inc.",USD
121.49,121.83,120.47,121.27,2340399,PLD.N,2021-06-24,安博,"Prologis, Inc.",USD
121.05,122.08,120.59,122.0,2075777,PLD.N,2021-06-25,安博,"Prologis, Inc.",USD
122.47,122.49,120.61,121.62,1446958,PLD.N,2021-06-28,安博,"Prologis, Inc.",USD
121.44,122.7,121.28,121.45,1743817,PLD.N,2021-06-29,安博,"Prologis, Inc.",USD
121.09,122.24,119.43,119.53,2910773,PLD.N,2021-06-30,安博,"Prologis, Inc.",USD
119.54,121.14,119.15,119.98,3211535,PLD.N,2021-07-01,安博,"Prologis, Inc.",USD
120.41,121.785,120.08,121.03,1789901,PLD.N,2021-07-02,安博,"Prologis, Inc.",USD
121.26,122.71,120.245,122.54,2864624,PLD.N,2021-07-06,安博,"Prologis, Inc.",USD
122.64,123.94,121.82,123.29,2980338,PLD.N,2021-07-07,安博,"Prologis, Inc.",USD
122.64,123.88,122.5,123.11,1927030,PLD.N,2021-07-08,安博,"Prologis, Inc.",USD
123.47,125.45,122.94,125.39,2311184,PLD.N,2021-07-09,安博,"Prologis, Inc.",USD
125.84,127.82,125.827,127.41,2730489,PLD.N,2021-07-12,安博,"Prologis, Inc.",USD
126.87,127.29,125.04,125.61,1811493,PLD.N,2021-07-13,安博,"Prologis, Inc.",USD
125.47,127.06,125.225,126.23,2132974,PLD.N,2021-07-14,安博,"Prologis, Inc.",USD
126.33,127.41,126.01,126.93,1426961,PLD.N,2021-07-15,安博,"Prologis, Inc.",USD
127.12,128.76,126.88,127.28,2633088,PLD.N,2021-07-16,安博,"Prologis, Inc.",USD
127.07,128.565,125.79,126.78,2878213,PLD.N,2021-07-19,安博,"Prologis, Inc.",USD
127.88,128.87,126.95,127.99,2453122,PLD.N,2021-07-20,安博,"Prologis, Inc.",USD
127.77,128.195,126.44,126.9,1863460,PLD.N,2021-07-21,安博,"Prologis, Inc.",USD
126.69,127.37,126.31,127.17,1448884,PLD.N,2021-07-22,安博,"Prologis, Inc.",USD
127.62,128.09,126.67,127.89,1496365,PLD.N,2021-07-23,安博,"Prologis, Inc.",USD
127.44,128.06,127.018,127.98,1874548,PLD.N,2021-07-26,安博,"Prologis, Inc.",USD
127.6,129.35,127.19,129.19,1631989,PLD.N,2021-07-27,安博,"Prologis, Inc.",USD
129.13,129.13,127.17,127.63,1914290,PLD.N,2021-07-28,安博,"Prologis, Inc.",USD
