open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
126.92,131.82,126.4,131.5,2335456,SPG.N,2021-06-21,西蒙地产,"Simon Property Group, Inc.",USD
131.19,131.4,129.23,130.25,1971565,SPG.N,2021-06-22,西蒙地产,"Simon Property Group, Inc.",USD
131.34,132.99,130.81,132.21,1805384,SPG.N,2021-06-23,西蒙地产,"Simon Property Group, Inc.",USD
132.8,132.875,129.88,130.62,2019938,SPG.N,2021-06-24,西蒙地产,"Simon Property Group, Inc.",USD
131.01,131.6,129.85,131.07,2322908,SPG.N,2021-06-25,西蒙地产,"Simon Property Group, Inc.",USD
131.0,131.03,128.25,130.2,1904208,SPG.N,2021-06-28,西蒙地产,"Simon Property Group, Inc.",USD
130.61,132.22,130.58,130.99,2201529,SPG.N,2021-06-29,西蒙地产,"Simon Property Group, Inc.",USD
130.58,132.28,130.25,130.48,2700932,SPG.N,2021-06-30,西蒙地产,"Simon Property Group, Inc.",USD
129.4,132.89,129.07,131.54,2550388,SPG.N,2021-07-01,西蒙地产,"Simon Property Group, Inc.",USD
131.44,132.07,129.18,129.63,1529613,SPG.N,2021-07-02,西蒙地产,"Simon Property Group, Inc.",USD
129.1,129.35,126.08,127.64,3143917,SPG.N,2021-07-06,西蒙地产,"Simon Property Group, Inc.",USD
127.12,127.31,124.1,125.79,2607646,SPG.N,2021-07-07,西蒙地产,"Simon Property Group, Inc.",USD
123.5,126.265,122.01,125.09,2631073,SPG.N,2021-07-08,西蒙地产,"Simon Property Group, Inc.",USD
127.0,129.78,126.68,129.69,1790069,SPG.N,2021-07-09,西蒙地产,"Simon Property Group, Inc.",USD
128.6,130.777,128.055,130.27,1263419,SPG.N,2021-07-12,西蒙地产,"Simon Property Group, Inc.",USD
129.58,130.04,126.43,126.61,1742711,SPG.N,2021-07-13,西蒙地产,"Simon Property Group, Inc.",USD
126.5,128.65,126.15,127.45,1556793,SPG.N,2021-07-14,西蒙地产,"Simon Property Group, Inc.",USD
126.83,127.81,125.29,126.54,1585488,SPG.N,2021-07-15,西蒙地产,"Simon Property Group, Inc.",USD
127.62,127.83,124.32,124.5,1741596,SPG.N,2021-07-16,西蒙地产,"Simon Property Group, Inc.",USD
120.08,120.57,114.715,117.19,5454181,SPG.N,2021-07-19,西蒙地产,"Simon Property Group, Inc.",USD
119.0,126.15,118.26,125.63,3821756,SPG.N,2021-07-20,西蒙地产,"Simon Property Group, Inc.",USD
126.83,129.22,126.7,127.93,2247903,SPG.N,2021-07-21,西蒙地产,"Simon Property Group, Inc.",USD
127.53,127.53,124.409,125.1,1709620,SPG.N,2021-07-22,西蒙地产,"Simon Property Group, Inc.",USD
126.06,126.665,122.85,124.15,1364630,SPG.N,2021-07-23,西蒙地产,"Simon Property Group, Inc.",USD
124.0,127.24,123.84,127.03,1905382,SPG.N,2021-07-26,西蒙地产,"Simon Property Group, Inc.",USD
126.09,126.83,124.85,125.87,1960738,SPG.N,2021-07-27,西蒙地产,"Simon Property Group, Inc.",USD
126.33,126.91,123.905,125.22,1642070,SPG.N,2021-07-28,西蒙地产,"Simon Property Group, Inc.",USD
125.97,128.3,125.72,125.92,1792989,SPG.N,2021-07-29,西蒙地产,"Simon Property Group, Inc.",USD
126.08,128.12,125.5,126.52,2194676,SPG.N,2021-07-30,西蒙地产,"Simon Property Group, Inc.",USD
