open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
78.74,80.7,78.35,80.58,1818242,WELL.N,2021-06-21,Welltower,Welltower Inc.,USD
81.07,83.18,80.925,82.22,3915947,WELL.N,2021-06-22,Welltower,Welltower Inc.,USD
82.21,83.809,81.8,83.47,2698215,WELL.N,2021-06-23,Welltower,Welltower Inc.,USD
83.65,83.83,82.29,83.46,2259449,WELL.N,2021-06-24,Welltower,Welltower Inc.,USD
83.8,84.02,83.37,84.02,2230038,WELL.N,2021-06-25,Welltower,Welltower Inc.,USD
84.02,84.02,82.34,82.96,2535789,WELL.N,2021-06-28,Welltower,Welltower Inc.,USD
83.0,83.825,82.67,83.41,1657430,WELL.N,2021-06-29,Welltower,Welltower Inc.,USD
83.58,84.23,82.72,83.1,4387980,WELL.N,2021-06-30,Welltower,Welltower Inc.,USD
83.41,84.57,82.82,83.73,2249068,WELL.N,2021-07-01,Welltower,Welltower Inc.,USD
84.0,84.97,83.73,84.92,2208823,WELL.N,2021-07-02,Welltower,Welltower Inc.,USD
84.61,85.3,83.205,85.14,2390390,WELL.N,2021-07-06,Welltower,Welltower Inc.,USD
84.95,85.225,83.96,84.87,2448850,WELL.N,2021-07-07,Welltower,Welltower Inc.,USD
84.05,85.415,83.62,84.89,2436015,WELL.N,2021-07-08,Welltower,Welltower Inc.,USD
85.39,86.49,84.92,86.43,1844949,WELL.N,2021-07-09,Welltower,Welltower Inc.,USD
85.97,87.79,85.97,87.53,1806673,WELL.N,2021-07-12,Welltower,Welltower Inc.,USD
87.55,87.96,86.385,86.97,2904044,WELL.N,2021-07-13,Welltower,Welltower Inc.,USD
86.68,88.82,86.56,88.2,2672263,WELL.N,2021-07-14,Welltower,Welltower Inc.,USD
87.91,88.69,87.66,88.6,2088211,WELL.N,2021-07-15,Welltower,Welltower Inc.,USD
89.1,89.8,88.941,89.68,2041377,WELL.N,2021-07-16,Welltower,Welltower Inc.,USD
88.49,88.49,84.1,84.43,3044353,WELL.N,2021-07-19,Welltower,Welltower Inc.,USD
84.93,88.42,84.31,88.02,2259701,WELL.N,2021-07-20,Welltower,Welltower Inc.,USD
88.1,89.42,87.76,87.99,1591637,WELL.N,2021-07-21,Welltower,Welltower Inc.,USD
87.86,87.9,86.7,87.35,1303645,WELL.N,2021-07-22,Welltower,Welltower Inc.,USD
