ticker,name,category,latest_price,daily_change_pct,weekly_change_pct,monthly_change_pct,amplitude,volume,avg_volume,high_30d,low_30d,date
508000.SH,华安张江光大REIT,产业园区,2.741,0.53,1.52,-0.69,1.77,3371674,3984074,2.768,2.641,2025-07-31
508001.SH,浙商沪杭甬REIT,高速公路,6.392,0.37,0.5,-1.81,0.54,478367,994444,6.582,6.312,2025-07-31
508006.SH,富国首创水务REIT,环保,3.65,1.37,1.56,-0.47,1.99,4458862,3669217,3.718,3.516,2025-07-31
508008.SH,国金中国铁建REIT,高速公路,8.022,0.07,2.11,-0.31,0.64,2281645,1456792,8.08,7.849,2025-07-31
508009.SH,平安广州广河REIT,高速公路,7.38,0.56,1.08,-1.02,1.22,1839658,2349410,7.571,7.28,2025-07-31
508018.SH,华夏中国交建REIT,高速公路,5.325,-0.14,-0.34,-2.38,0.47,1891647,2845657,5.511,5.294,2025-07-31
508028.SH,中金普洛斯REIT,仓储物流,10.04,0.09,1.11,-0.55,0.28,1999822,1674930,10.151,9.781,2025-07-31
508056.SH,中金厦门安居REIT,保障性租赁住房,3.477,0.52,0.55,-2.11,0.74,3895165,2883016,3.592,3.39,2025-07-31
508068.SH,华夏北京保障房REIT,保障性租赁住房,4.233,1.45,2.77,-1.16,2.11,5699430,5007594,4.335,4.099,2025-07-31
180101.SZ,博时蛇口产园REIT,产业园区,2.003,-0.24,-0.48,-4.48,0.91,3021585,3708212,2.099,1.992,2025-07-31
180201.SZ,中航首钢绿能REIT,环保,8.622,0.15,-0.39,-3.22,0.42,1571593,1080865,8.942,8.606,2025-07-31
180401.SZ,鹏华深圳能源REIT,能源,5.915,-0.2,1.69,0.89,1.41,1927105,1687456,5.973,5.754,2025-07-31
